geneName,type
IL23A,ALL-EPI
GPRC5C,ALL-EPI
VENTX,ALL-EPI
ST6GALNAC3,ALL-EPI
CASP8,ALL-EPI
CREBL2,ALL-EPI
HEY2,ALL-EPI
NLRP9,ALL-EPI
ASH2L,ALL-EPI
POU5F1,ALL-EPI
LINC00261,ALL-PE
P4HA1,ALL-PE
COL4A1,ALL-PE
HNF1B,ALL-PE
FRZB,ALL-PE
AMOTL1,ALL-PE
PDGFRA,ALL-PE
CADM1,ALL-PE
NID2,ALL-PE
APOA1,ALL-PE
RSPO3,ALL-PE
CTSE,ALL-PE
GATA4,ALL-PE
DPP4,ALL-PE
FN1,ALL-PE
MYL4,ALL-PE
TRIM2,ALL-PE
COL4A2,ALL-PE
DENND2C,ALL-PE
NID1,ALL-PE
IGF1,ALL-PE
DEPDC7,ALL-PE
FLRT3,ALL-PE
LOC101929344,ALL-PE
BMP6,ALL-PE
CAMK2D,ALL-PE
CELA3A,ALL-PE
CDH2,ALL-PE
DUSP4,ALL-PE
CDH11,ALL-PE
SP8,ALL-PE
ROBO1,ALL-PE
PITX2,ALL-PE
FOXA2,ALL-PE
BMP2,ALL-PE
SALL1,ALL-PE
ADD3,ALL-PE
APOA2,ALL-PE
OTX2,ALL-PE
RGS5,ALL-PE
SLCO2A1,ALL-PE
TMEM123,ALL-PE
CELA3B,ALL-PE
ALDH1A1,ALL-PE
MTTP,ALL-PE
ITIH5,ALL-PE
PROS1,ALL-PE
KCNJ16,ALL-PE
PRCP,ALL-PE
MARCKS,ALL-PE
SERPINE2,ALL-PE
PIK3R1,ALL-PE
COL18A1,ALL-PE
SYT13,ALL-PE
LOC400043,ALL-PE
LEPRE1,ALL-PE
CACHD1,ALL-PE
VIL1,ALL-PE
GCNT3,ALL-PE
EDEM1,ALL-PE
TNIP3,ALL-PE
HNF4A,ALL-PE
CPN1,ALL-PE
HABP2,ALL-PE
LRRC16A,ALL-PE
KIFAP3,ALL-PE
GPR161,ALL-PE
GCKR,ALL-PE
FST,ALL-PE
NOG,ALL-PE
AMBN,ALL-PE
RNASE1,ALL-PE
ID2,ALL-PE
PGM1,ALL-PE
DYNLT3,ALL-PE
CCAT1,ALL-PE
GNA13,ALL-PE
HMGCR,ALL-PE
PDPN,ALL-PE
ANKRD1,ALL-PE
ABHD6,ALL-PE
PHLDB2,ALL-PE
VWA5A,ALL-PE
SMAD9,ALL-PE
CALCR,ALL-PE
MAP2K6,ALL-PE
PTK2B,ALL-PE
PAPSS1,ALL-PE
TMEM88,ALL-PE
FRMD6,ALL-PE
GPC3,ALL-PE
CNIH3,ALL-PE
CERS6,ALL-PE
POMC,ALL-PE
GATA6,ALL-PE
CMBL,ALL-PE
FAM198B,ALL-PE
LOC101929767,ALL-PE
FGG,ALL-PE
KIT,ALL-PE
PTGES,ALL-TE
DAB2,ALL-TE
ATP6V1B1,ALL-TE
EMP2,ALL-TE
TACSTD2,ALL-TE
SLC7A4,ALL-TE
PRSS8,ALL-TE
ATP6V0A4,ALL-TE
SLC28A3,ALL-TE
S100A6,ALL-TE
FABP3,ALL-TE
TMPRSS13,ALL-TE
PPT1,ALL-TE
SLC34A2,ALL-TE
LRP2,ALL-TE
ABCG2,ALL-TE
ENPEP,ALL-TE
BASP1,ALL-TE
KRT19,ALL-TE
HIP1,ALL-TE
FRMD4B,ALL-TE
GRHL2,ALL-TE
